H,buffer,cost,AP,Brier,theta,coverage,EV_per_trade
8,0.0005,0.02,0.9913981931223551,0.020986491340731172,0.98,0.7901709401709401,0.9661735447688063
8,0.0005,0.03,0.9913981931223551,0.020986491340731172,0.98,0.7901709401709401,0.9561735447688063
8,0.0008,0.02,0.9039652098249065,0.10963129705171623,0.9256321839080459,0.33760683760683763,0.8601198710778587
8,0.0008,0.03,0.9039652098249065,0.10963129705171623,0.9256321839080459,0.33760683760683763,0.8501198710778587
8,0.001,0.02,0.8054028767832887,0.1807890479842976,0.8416091954022988,0.30106837606837605,0.7243938119166953
8,0.001,0.03,0.8054028767832887,0.1807890479842976,0.8416091954022988,0.30106837606837605,0.7143938119166953
10,0.0005,0.02,0.9936655688082354,0.01190411376820224,0.98,0.8267379679144385,0.9692794212520681
10,0.0005,0.03,0.9936655688082354,0.01190411376820224,0.98,0.8267379679144385,0.959279421252068
10,0.0008,0.02,0.9419458900093793,0.07769621874622064,0.9602298850574713,0.3381818181818182,0.9212049468591479
10,0.0008,0.03,0.9419458900093793,0.07769621874622064,0.9602298850574713,0.3381818181818182,0.9112049468591478
10,0.001,0.02,0.8620538138866368,0.1464648573617066,0.8860919540229886,0.3411764705882353,0.810260058840736
10,0.001,0.03,0.8620538138866368,0.1464648573617066,0.8860919540229886,0.3411764705882353,0.8002600588407358
12,0.0005,0.02,0.9957481276401945,0.013744295341684509,0.98,0.8305882352941176,0.9710221651594423
12,0.0005,0.03,0.9957481276401945,0.013744295341684509,0.98,0.8305882352941176,0.9610221651594423
12,0.0008,0.02,0.9710767499938454,0.05253136282229379,0.98,0.3895187165775401,0.9513890418772699
12,0.0008,0.03,0.9710767499938454,0.05253136282229379,0.98,0.3895187165775401,0.9413890418772698
12,0.001,0.02,0.9236359181383019,0.10892316993541114,0.9355172413793104,0.3602139037433155,0.8835451090066009
12,0.001,0.03,0.9236359181383019,0.10892316993541114,0.9355172413793104,0.3602139037433155,0.8735451090066009
16,0.0005,0.02,0.9987993256832622,0.00573825660962111,0.98,0.9107066381156317,0.9720698687557167
16,0.0005,0.03,0.9987993256832622,0.00573825660962111,0.98,0.9107066381156317,0.9620698687557165
16,0.0008,0.02,0.9889360505327801,0.026012107359162654,0.98,0.6496788008565311,0.9624139885241827
16,0.0008,0.03,0.9889360505327801,0.026012107359162654,0.98,0.6496788008565311,0.9524139885241826
16,0.001,0.02,0.961530076780838,0.06405214976385473,0.9701149425287356,0.32955032119914346,0.9440737496078101
16,0.001,0.03,0.961530076780838,0.06405214976385473,0.9701149425287356,0.32955032119914346,0.93407374960781
